,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MNE,MNG,MOZ,MRT,MUS,MWI,MYR,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
AFG,0,62,39,46,59,60,45,63,36,46,53,49,41,54,56,61,40,60,63,43,44,62,57,52,62,62,63,62,35,32,43,61,48,59,42,46,52,62,5,54,62,51,46,38,40,50,9,40,65,54,61,53,59,40,37,57,41,58,37,26,59,36,38,65,40,63,51,46,43,61,54,62,61,39,58,39,57,47,47,45,59,41,17,41,63,61,44,51,58,54,62,54,61,40,59,56,58,26,60,62,47,55,60,39,40,38,58,39,45,54,64,62,33,14,56,47,41,60,60,60,62,54,63,62,57,49,52,50,41,43,62,29,47,58,44,61,64,62,42,54,37,35,41,65,60,37,37,46,56,45,61,60,38,63,60,47,33,40,17,4,56,41,42,42,49,28,42,60,54,62,52,50,32,5,63,61,42,42,50,55,37,58,22,54,64,0,53,54,52,61,57,57,48
AGO,62,0,44,51,72,70,57,68,40,50,65,55,47,58,63,75,45,72,68,48,53,70,72,57,70,75,74,72,46,32,47,69,62,68,49,49,60,71,7,60,72,65,54,40,45,62,11,45,73,69,70,65,71,45,42,69,47,66,41,27,70,40,44,72,50,72,64,52,49,71,57,74,70,43,63,43,68,58,53,57,73,46,22,47,75,74,48,66,67,68,73,57,69,46,69,70,71,28,71,70,52,70,71,44,46,43,70,44,50,60,73,69,34,19,71,56,46,74,74,71,74,59,71,75,72,55,64,63,47,47,75,31,51,69,59,67,76,73,44,57,44,46,47,74,71,41,47,49,67,59,76,71,47,72,75,50,38,47,21,3,61,47,48,48,55,26,54,71,63,74,63,60,41,5,75,73,49,46,56,70,40,64,24,66,74,1,67,58,53,73,71,66,60
ALB,39,44,0,67,43,53,41,43,68,69,34,27,72,38,37,44,73,43,45,67,29,43,39,45,48,46,50,46,23,62,65,53,35,47,27,27,34,52,9,39,53,32,66,72,75,33,5,73,54,36,50,38,39,71,72,37,71,42,69,46,40,70,62,47,34,44,33,28,72,40,45,49,48,74,41,72,42,37,66,27,41,71,46,74,47,49,64,37,42,39,46,40,40,69,46,38,41,46,41,41,66,39,42,72,72,70,46,72,64,32,51,50,50,35,40,67,72,44,42,39,46,44,51,47,39,30,36,31,73,70,46,22,67,41,34,51,53,49,46,41,69,22,72,51,46,72,33,27,40,30,45,47,31,46,48,66,24,46,15,4,41,74,72,73,31,21,25,45,36,49,34,35,34,7,46,43,62,31,28,37,64,49,53,36,44,2,37,39,39,47,41,43,32
AND,46,51,67,0,50,59,44,50,61,73,41,34,68,43,43,51,68,50,52,67,34,50,46,50,54,53,56,53,25,55,66,59,38,53,31,33,41,59,8,46,59,39,72,63,67,40,5,67,61,43,57,45,46,67,65,44,68,49,63,41,47,63,61,54,37,51,40,34,69,47,49,56,55,66,48,64,48,39,73,34,48,69,38,68,54,55,66,44,48,44,53,47,47,65,52,45,48,39,48,48,73,46,49,65,68,65,53,67,71,39,57,57,51,35,47,74,69,51,49,46,53,49,58,54,46,37,43,38,68,68,53,24,73,48,37,57,60,56,48,47,64,24,68,58,53,64,29,33,46,37,52,53,33,53,55,72,28,48,16,4,48,68,69,69,37,24,30,51,42,56,40,42,34,7,53,50,58,34,35,44,62,55,45,43,51,1,44,46,45,54,48,47,38
ARE,59,72,43,50,0,71,53,66,39,49,61,52,46,55,57,72,44,77,65,46,53,68,69,58,69,78,71,71,43,31,46,69,63,67,48,47,54,70,10,56,72,66,54,39,44,61,12,44,73,70,69,72,66,44,42,66,47,62,40,26,66,39,44,70,46,68,59,47,49,67,56,74,67,42,60,42,73,58,52,59,75,45,22,46,73,76,48,63,67,65,73,54,68,46,75,69,72,26,74,68,51,68,68,43,45,43,73,43,49,58,73,68,33,21,68,55,45,69,70,71,74,57,69,77,68,55,66,61,46,46,73,31,50,74,62,66,76,72,41,58,44,48,46,73,77,41,45,48,72,59,73,72,46,70,71,49,40,46,21,5,58,46,47,47,51,26,56,68,59,75,61,59,43,8,73,73,48,43,52,66,40,64,25,63,71,1,70,57,51,77,67,66,57
ARG,60,70,53,59,71,0,57,65,47,58,59,50,55,57,58,70,54,71,69,56,51,69,65,62,73,73,74,72,43,41,56,75,59,69,47,44,53,75,10,61,76,59,60,49,53,58,9,53,78,63,73,66,64,54,52,62,55,64,49,33,65,49,51,71,50,67,58,47,57,65,63,74,70,52,62,50,68,59,59,53,68,55,28,54,73,75,55,62,64,65,74,58,65,54,73,65,68,33,67,67,58,66,67,51,55,52,72,53,56,57,76,72,42,27,65,61,55,69,68,65,73,63,74,74,65,52,62,57,54,55,72,32,59,69,57,71,79,73,47,59,52,43,55,76,73,51,47,47,68,55,71,72,48,71,74,57,40,50,19,4,62,54,56,55,52,26,51,70,58,74,60,58,49,7,72,69,55,47,50,64,49,70,32,61,70,1,65,59,57,74,67,67,55
ARM,45,57,41,44,53,57,0,52,37,43,51,40,44,43,46,57,42,53,52,44,48,53,57,44,53,57,56,53,35,29,42,53,51,50,37,32,44,56,4,42,57,51,46,37,42,43,8,42,58,53,54,48,54,42,39,51,44,50,38,24,52,37,41,55,39,53,45,37,45,52,41,57,53,40,48,40,51,50,46,44,54,43,19,44,56,55,43,52,48,55,56,40,51,43,51,55,55,24,52,52,45,55,55,41,43,40,51,41,43,44,55,55,30,19,56,47,43,59,56,51,56,45,52,56,53,36,47,50,44,44,56,19,44,53,49,52,60,57,32,42,41,41,44,59,53,38,45,35,50,45,56,54,37,55,57,44,28,47,18,3,45,44,45,45,38,18,42,52,47,58,52,47,35,5,56,55,42,36,40,54,37,49,21,52,56,1,52,43,42,55,54,50,45
ATG,63,68,43,50,66,65,52,0,41,49,59,55,45,55,58,69,44,67,70,46,50,68,63,57,68,70,69,68,42,33,46,65,57,66,50,52,58,67,4,57,69,57,51,41,44,55,13,44,71,61,66,60,66,45,41,65,46,63,40,30,65,39,43,71,43,70,57,51,48,68,58,70,67,42,64,44,62,54,51,50,66,45,23,46,72,67,49,58,65,60,68,57,67,45,64,63,65,30,67,67,51,62,67,43,44,42,63,43,49,57,69,67,37,18,64,52,45,68,66,66,68,59,68,68,63,53,60,55,46,46,70,31,50,65,53,66,71,69,45,60,42,40,45,71,67,40,42,51,62,52,68,68,43,69,67,50,37,45,22,5,62,46,46,47,53,28,48,66,59,70,55,55,37,9,72,68,44,44,56,63,39,64,27,59,70,1,60,58,55,68,62,63,53
AUS,36,40,68,61,39,47,37,41,0,64,30,25,66,33,31,39,66,38,42,60,25,38,35,41,41,42,43,41,21,63,58,47,30,45,28,29,35,47,6,35,49,28,62,68,70,29,7,67,50,32,46,32,36,65,65,33,66,39,63,50,35,65,58,45,31,40,29,27,67,36,44,45,46,67,40,71,35,31,62,22,37,64,51,70,43,42,58,33,38,32,40,41,36,64,39,34,36,49,37,36,62,33,38,67,65,64,40,65,60,31,44,47,54,32,36,63,65,40,38,35,41,43,46,42,35,26,33,26,69,64,42,26,60,35,29,49,49,45,50,42,64,17,66,47,42,64,27,28,35,26,41,43,27,41,42,61,20,42,16,5,42,70,66,68,25,23,18,43,35,45,29,30,28,8,41,39,55,33,27,33,59,45,58,31,40,1,32,35,38,42,36,36,28
AUT,46,50,69,73,49,58,43,49,64,0,40,33,68,43,43,50,70,49,51,66,33,49,45,51,53,52,55,52,24,59,67,58,37,52,30,33,40,58,8,45,59,38,71,67,71,39,5,68,60,42,56,44,45,67,67,43,68,48,64,44,46,66,60,53,36,50,39,33,69,46,51,55,54,69,47,68,47,38,73,33,47,68,42,70,53,54,66,43,48,43,52,46,46,64,51,44,47,40,47,47,73,45,48,67,67,65,52,66,70,38,56,57,54,35,46,73,68,50,48,45,52,48,57,53,45,37,42,38,70,69,52,28,74,47,36,56,59,55,51,47,64,24,67,57,52,65,29,32,45,36,51,52,32,52,54,72,27,47,16,4,47,71,68,70,36,24,30,50,42,55,40,42,34,7,52,49,57,34,34,43,63,54,49,43,50,1,43,45,45,53,48,46,37
