,AFG,AGO,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MNE,MNG,MOZ,MRT,MUS,MWI,MYR,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
AFG,False,False,True,False,False,False,True,True,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,True,False,False,False,False,True,True,True,False,True,False,True,False,True,True,False,False,True,True,False,True,True,False,True,False,True,False,True,False,False,True,False,False,True,True,True,False,False,True,False,False,False,False,True,True,True,False,False,False,True,False,True,False,True,True,True,True,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,True,False,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,False,False,False,False
AGO,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,True,True,False,False,False,False,True,True,True,False,True,False,True,False,True,True,False,False,True,True,False,True,True,False,True,False,True,False,True,False,False,True,False,False,True,True,True,False,False,True,False,False,False,False,True,True,True,False,False,False,True,False,False,False,True,True,True,True,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False
ALB,False,True,False,False,True,False,True,False,False,True,True,False,True,True,False,False,False,False,False,True,True,True,False,True,True,True,True,True,False,False,False,True,False,True,True,True,False,True,True,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,True,True,False,True,True,True,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,True,True,True,False,False,True,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False,False,True,True,True,True,False,True,True,False,False,False,True,True,True,True,True,False,True,False,True,True,True,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,False,True,True
ARE,False,False,True,False,False,False,True,True,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,True,False,False,False,False,True,True,True,False,True,False,True,False,True,True,False,False,True,True,False,True,True,False,True,False,True,True,True,False,False,True,False,False,True,True,True,False,False,True,False,False,False,False,True,True,True,False,False,False,True,False,True,False,True,True,True,True,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,True,True,True,False,False,True,True,True,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,False,True,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False
ARG,True,True,True,False,False,True,True,True,True,False,True,True,True,True,False,True,False,False,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,True,True,True,False,True,True,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,False,True,True,True,False,False,True,True,False,True,True,True,False,False,True,False,True,True,False,True,True,True,False,True,False,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,False,True,False,False,True,True,False,True,True,True,True,True,False,False,False,False,False,True,True,True,True,False,False,True,True,True,False,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,False,True,True
ARM,False,False,True,False,False,False,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False,False,True,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,True,True,True,False,True,False,False,False,False,False,True,False,False,True,False,True,True,False,True,False,False,True,True,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,True,True,True,False,True,True,True,False,False,False,False,False,False,True,True,True,False,False,True,False,True,True,False,True,False,True,True,False,True,True,True,False,True,True
ATG,False,False,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,False,True,False,True,False,True,True,False,False,True,True,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,True,True,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,True,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False
AUS,False,False,True,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,True,False,True,False,False,False,True,True,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False,True,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,True,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,False,True,True,True,True,False,False,True,False,False,True
AUT,True,True,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,False,False,True,False,True,True,True,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,True,True,False,True,False,True,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,True,False,False,True,True,True,True,False,True,True,False,False,False,True,True,True,True,True,False,True,False,True,True,True,False,False,True,True,True,False,False,True,False,True,True,False,True,True,True,False,True,True
AZE,False,False,True,False,False,False,True,True,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,True,False,False,False,False,True,True,True,False,True,False,True,False,True,True,False,False,True,True,True,True,True,False,True,False,True,False,True,False,False,True,False,False,True,True,True,False,False,True,False,False,False,False,True,True,True,False,False,False,True,False,True,False,True,True,True,True,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,True,False,True,False,True,True,True,True,True,True,True,False,True,False,False,False,False,True,True,True,False,True,True,False,False,True,False,True,False,True,True,False,True,True,False,False,False,False
