,LGBT,environmental,migration,IPalignment
AFG,0,1,-1,1
AGO,-1,-1,-1,-1
ALB,-1,-1,0,-1
ARE,0,-1,0,1
ARG,1,-1,1,-1
ARM,-1,-1,-1,-1
ATG,-1,-1,-1,-1
AUS,1,-1,1,0
AUT,1,-1,0,0
AZE,-1,-1,-1,-1
BDI,0,0,-1,-1
BEL,1,-1,1,-1
BEN,-1,-1,-1,-1
BFA,-1,0,-1,-1
BGD,0,-1,-1,1
BGR,-1,-1,0,0
BHR,-1,-1,-1,1
BHS,-1,-1,-1,-1
BIH,-1,-1,-1,-1
BLR,-1,-1,-1,-1
BLZ,-1,-1,-1,-1
BOL,-1,-1,-1,-1
BRA,1,-1,1,-1
BRB,-1,1,-1,-1
BRN,0,-1,-1,1
BTN,-1,-1,-1,-1
BWA,-1,-1,-1,-1
CAF,-1,-1,-1,-1
CAN,1,-1,1,0
CHE,1,-1,-1,-1
CHL,1,-1,0,-1
CHN,-1,-1,0,-1
CIV,-1,-1,-1,-1
CMR,0,-1,-1,-1
COD,-1,-1,-1,-1
COG,-1,-1,-1,-1
COL,1,-1,-1,-1
COM,0,-1,-1,1
CPV,-1,-1,-1,-1
CRI,1,-1,-1,-1
CUB,1,1,-1,-1
CYP,-1,-1,0,0
CZE,-1,-1,-1,0
DEU,1,-1,1,0
DJI,-1,1,-1,1
DMA,-1,-1,-1,-1
DNK,1,1,0,-1
DOM,-1,-1,-1,-1
DZA,0,-1,-1,1
ECU,-1,-1,-1,-1
EGY,-1,-1,-1,-1
ERI,0,-1,-1,-1
ESP,1,-1,1,-1
EST,1,-1,-1,0
ETH,0,-1,-1,-1
FIN,1,1,1,-1
FJI,-1,-1,-1,-1
FRA,1,-1,-1,-1
GAB,-1,-1,-1,-1
GBR,1,1,-1,-1
GEO,-1,-1,-1,-1
GHA,0,-1,-1,-1
GIN,0,-1,-1,-1
GMB,0,-1,-1,-1
GNB,-1,-1,-1,-1
GNQ,-1,-1,-1,-1
GRC,1,-1,-1,0
GRD,-1,-1,-1,-1
GTM,-1,-1,-1,-1
GUY,-1,-1,-1,-1
HND,-1,-1,-1,-1
HRV,-1,-1,0,0
HTI,-1,0,-1,-1
HUN,-1,-1,0,0
IDN,-1,-1,0,-1
IND,-1,-1,0,-1
IRL,1,-1,1,-1
IRN,0,-1,-1,1
IRQ,0,0,-1,1
ISL,1,-1,-1,-1
ISR,-1,-1,-1,0
ITA,-1,-1,-1,0
JAM,-1,-1,-1,-1
JOR,-1,-1,0,-1
JPN,-1,-1,-1,0
KAZ,-1,-1,-1,-1
KEN,0,-1,-1,-1
KGZ,-1,-1,-1,-1
KHM,-1,-1,-1,-1
KIR,-1,-1,-1,-1
KNA,-1,-1,-1,-1
KOR,-1,-1,1,0
KWT,0,-1,-1,1
LAO,-1,-1,-1,-1
LBN,-1,-1,-1,1
LBR,0,0,-1,-1
LBY,0,-1,-1,1
LCA,-1,-1,-1,-1
LKA,0,-1,-1,-1
LSO,-1,-1,-1,-1
LTU,-1,-1,0,0
LUX,1,-1,1,-1
LVA,-1,-1,0,0
MAR,0,-1,-1,1
MDA,-1,-1,-1,-1
MDG,-1,-1,-1,-1
MDV,0,-1,-1,-1
MEX,-1,-1,-1,-1
MKD,-1,1,0,-1
MLI,-1,0,-1,-1
MLT,1,1,-1,-1
MNE,-1,-1,-1,-1
MNG,-1,-1,-1,-1
MOZ,-1,-1,-1,-1
MRT,0,0,-1,1
MUS,-1,-1,-1,-1
MWI,0,-1,-1,-1
MYR,0,-1,-1,-1
MYS,0,-1,-1,1
NAM,-1,-1,-1,-1
NER,-1,0,-1,-1
NGA,0,-1,-1,-1
NIC,-1,-1,-1,-1
NLD,1,-1,-1,-1
NOR,1,-1,1,-1
NPL,-1,-1,-1,-1
NZL,1,-1,1,-1
OMN,0,-1,-1,1
PAK,0,-1,-1,1
PAN,-1,-1,-1,-1
PER,-1,-1,-1,-1
PHL,-1,0,-1,-1
PNG,-1,-1,-1,-1
POL,-1,-1,0,0
PRK,-1,-1,-1,1
PRT,1,-1,1,-1
PRY,-1,-1,-1,-1
QAT,0,-1,-1,1
ROU,-1,-1,-1,0
RUS,-1,-1,0,-1
RWA,-1,-1,-1,-1
SAU,0,-1,0,1
SDN,0,-1,-1,1
SEN,0,-1,-1,-1
SGP,-1,-1,-1,-1
SLB,0,-1,-1,-1
SLE,-1,-1,-1,-1
SLV,-1,-1,-1,-1
SOM,0,-1,-1,1
SRB,-1,-1,-1,-1
STP,-1,-1,-1,-1
SUR,-1,-1,-1,-1
SVK,-1,-1,0,0
SVN,1,-1,1,-1
SWE,1,1,1,-1
SWZ,-1,-1,-1,-1
SYC,-1,-1,-1,-1
SYR,0,-1,-1,1
TCD,0,-1,-1,-1
TGO,0,-1,-1,-1
THA,-1,-1,-1,-1
TJK,-1,-1,-1,-1
TKM,-1,-1,-1,-1
TLS,-1,-1,-1,-1
TON,-1,0,-1,-1
TTO,-1,-1,-1,-1
TUN,0,-1,-1,1
TUR,-1,-1,0,-1
TUV,-1,-1,-1,-1
TZA,0,-1,-1,-1
UGA,0,-1,-1,-1
UKR,-1,-1,-1,0
URY,1,-1,-1,-1
USA,1,-1,1,0
UZB,-1,-1,-1,-1
VCT,0,-1,-1,-1
VEN,-1,-1,-1,-1
VNM,-1,-1,-1,-1
VUT,-1,-1,-1,-1
WSM,-1,-1,-1,-1
YEM,0,-1,-1,1
ZAF,1,-1,-1,-1
ZMB,0,-1,-1,-1
ZWE,-1,-1,-1,-1
