,LGBT,environmental,migration,IPalignment
AFG,0,1,0,-1
AGO,1,0,0,-1
ALB,1,1,0,-1
ARE,0,1,0,-1
ARG,1,1,1,-1
ARM,1,0,0,-1
ATG,1,0,0,-1
AUS,1,1,1,-1
AUT,1,1,0,-1
AZE,1,0,0,-1
BDI,0,0,0,-1
BEL,1,1,1,-1
BEN,1,0,0,-1
BFA,1,0,0,-1
BGD,0,0,0,-1
BGR,1,1,0,-1
BHR,1,1,0,-1
BHS,1,1,0,-1
BIH,1,1,0,-1
BLR,1,1,0,-1
BLZ,1,0,0,-1
BOL,1,0,0,-1
BRA,1,1,1,-1
BRB,1,1,0,-1
BRN,0,0,0,-1
BTN,1,0,0,-1
BWA,1,0,0,-1
CAF,1,1,0,-1
CAN,1,1,1,-1
CHE,1,1,1,-1
CHL,1,1,1,-1
CHN,1,1,0,-1
CIV,1,1,0,-1
CMR,0,0,0,-1
COD,1,-1,0,-1
COG,1,1,0,-1
COL,1,0,0,-1
COM,0,0,0,-1
CPV,1,0,0,-1
CRI,1,0,0,-1
CUB,1,1,0,-1
CYP,1,1,0,-1
CZE,1,1,1,-1
DEU,1,1,1,-1
DJI,1,1,0,-1
DMA,1,1,0,-1
DNK,1,1,0,-1
DOM,1,0,0,-1
DZA,0,0,0,-1
ECU,1,1,0,-1
EGY,0,0,0,-1
ERI,0,0,0,-1
ESP,1,1,1,-1
EST,1,1,1,-1
ETH,0,1,0,-1
FIN,1,1,1,-1
FJI,1,0,0,-1
FRA,1,1,1,-1
GAB,1,1,0,-1
GBR,1,1,1,-1
GEO,1,0,0,-1
GHA,0,0,0,-1
GIN,0,0,0,-1
GMB,0,0,0,-1
GNB,1,0,0,-1
GNQ,1,1,0,-1
GRC,1,1,0,-1
GRD,0,1,0,-1
GTM,1,0,0,-1
GUY,0,0,0,-1
HND,1,0,0,-1
HRV,1,1,0,-1
HTI,1,0,0,-1
HUN,1,1,0,-1
IDN,0,0,0,-1
IND,1,0,0,-1
IRL,1,1,1,-1
IRN,0,0,0,-1
IRQ,0,0,0,-1
ISL,1,1,1,-1
ISR,1,1,0,-1
ITA,1,1,1,-1
JAM,0,1,0,-1
JOR,1,1,0,-1
JPN,1,1,0,-1
KAZ,1,1,0,-1
KEN,0,0,0,-1
KGZ,1,0,0,-1
KHM,1,0,0,-1
KIR,0,0,0,-1
KNA,1,-1,0,-1
KOR,1,1,1,-1
KWT,0,1,0,-1
LAO,1,0,0,-1
LBN,0,1,0,-1
LBR,0,0,0,-1
LBY,0,-1,0,-1
LCA,0,1,0,-1
LKA,0,0,0,-1
LSO,1,1,0,-1
LTU,1,1,0,-1
LUX,1,1,1,-1
LVA,1,1,0,-1
MAR,0,0,0,-1
MDA,1,0,0,-1
MDG,1,0,0,-1
MDV,0,0,0,-1
MEX,1,1,1,-1
MKD,1,1,0,-1
MLI,0,0,0,-1
MLT,1,1,0,-1
MNE,1,1,0,-1
MNG,1,1,0,-1
MOZ,1,0,0,-1
MRT,0,0,0,-1
MUS,1,0,0,-1
MWI,0,0,0,-1
MYR,0,0,0,-1
MYS,0,0,0,-1
NAM,0,0,0,-1
NER,1,0,0,-1
NGA,0,0,0,-1
NIC,1,0,0,-1
NLD,1,1,1,-1
NOR,1,1,1,-1
NPL,1,0,0,-1
NZL,1,1,1,-1
OMN,0,0,0,-1
PAK,0,0,0,-1
PAN,1,0,0,-1
PER,1,0,0,-1
PHL,1,0,0,-1
PNG,0,0,0,-1
POL,1,1,0,-1
PRK,1,-1,0,-1
PRT,1,1,1,-1
PRY,1,0,0,-1
QAT,0,0,0,-1
ROU,1,1,0,-1
RUS,0,1,0,-1
RWA,1,0,0,-1
SAU,0,1,0,-1
SDN,0,0,0,-1
SEN,0,0,0,-1
SGP,1,1,0,-1
SLB,0,1,0,-1
SLE,0,0,0,-1
SLV,1,0,0,-1
SOM,0,-1,0,-1
SRB,1,1,1,-1
STP,1,1,0,-1
SUR,1,0,0,-1
SVK,1,1,0,-1
SVN,1,1,0,-1
SWE,1,1,1,-1
SWZ,0,1,0,-1
SYC,1,0,0,-1
SYR,0,-1,0,-1
TCD,0,0,0,-1
TGO,0,0,0,-1
THA,1,1,0,-1
TJK,1,0,0,-1
TKM,0,0,0,-1
TLS,1,0,0,-1
TON,0,0,0,-1
TTO,1,1,0,-1
TUN,0,1,0,-1
TUR,1,0,0,-1
TUV,0,-1,0,-1
TZA,0,0,0,-1
UGA,0,0,0,-1
UKR,1,1,0,-1
URY,1,1,0,-1
USA,1,1,1,-1
UZB,0,1,0,-1
VCT,0,0,0,-1
VEN,1,1,0,-1
VNM,1,0,0,-1
VUT,1,0,0,-1
WSM,0,0,0,-1
YEM,0,-1,0,-1
ZAF,1,1,0,-1
ZMB,0,0,0,-1
ZWE,0,0,0,-1
