"V1" "V2" "V3"
"1" "ABW" "ABW" "0"
"2" "ABW" "AFG" "0"
"3" "ABW" "AGO" "0"
"4" "ABW" "AIA" "0"
"5" "ABW" "ALB" "0"
"6" "ABW" "AND" "0"
"7" "ABW" "ANT" "0"
"8" "ABW" "ARE" "0"
"9" "ABW" "ARG" "0"
"10" "ABW" "ARM" "0"
"11" "ABW" "ATG" "0"
"12" "ABW" "AUS" "0"
"13" "ABW" "AUT" "0"
"14" "ABW" "AZE" "0"
"15" "ABW" "BDI" "0"
"16" "ABW" "BEL" "0"
"17" "ABW" "BEN" "0"
"18" "ABW" "BFA" "0"
"19" "ABW" "BGD" "0"
"20" "ABW" "BGR" "0"
"21" "ABW" "BHR" "0"
"22" "ABW" "BHS" "0"
"23" "ABW" "BIH" "0"
"24" "ABW" "BLR" "0"
"25" "ABW" "BLZ" "0"
"26" "ABW" "BMU" "0"
"27" "ABW" "BOL" "0"
"28" "ABW" "BRA" "0"
"29" "ABW" "BRB" "0"
"30" "ABW" "BRN" "0"
"31" "ABW" "BTN" "0"
"32" "ABW" "BWA" "0"
"33" "ABW" "CAF" "0"
"34" "ABW" "CAN" "0"
"35" "ABW" "CCK" "0"
"36" "ABW" "CHE" "0"
"37" "ABW" "CHL" "0"
"38" "ABW" "CHN" "0"
"39" "ABW" "CIV" "0"
"40" "ABW" "CMR" "0"
"41" "ABW" "COG" "0"
"42" "ABW" "COK" "0"
"43" "ABW" "COL" "0"
"44" "ABW" "COM" "0"
"45" "ABW" "CPV" "0"
"46" "ABW" "CRI" "0"
"47" "ABW" "CUB" "0"
"48" "ABW" "CXR" "0"
"49" "ABW" "CYM" "0"
"50" "ABW" "CYP" "0"
"51" "ABW" "CZE" "0"
"52" "ABW" "DEU" "0"
"53" "ABW" "DJI" "0"
"54" "ABW" "DMA" "0"
"55" "ABW" "DNK" "0"
"56" "ABW" "DOM" "0"
"57" "ABW" "DZA" "0"
"58" "ABW" "ECU" "0"
"59" "ABW" "EGY" "0"
"60" "ABW" "ERI" "0"
"61" "ABW" "ESH" "0"
"62" "ABW" "ESP" "0"
"63" "ABW" "EST" "0"
"64" "ABW" "ETH" "0"
"65" "ABW" "FIN" "0"
"66" "ABW" "FJI" "0"
"67" "ABW" "FLK" "0"
"68" "ABW" "FRA" "0"
"69" "ABW" "FRO" "0"
"70" "ABW" "FSM" "0"
"71" "ABW" "GAB" "0"
"72" "ABW" "GBR" "0"
"73" "ABW" "GEO" "0"
"74" "ABW" "GHA" "0"
"75" "ABW" "GIB" "0"
"76" "ABW" "GIN" "0"
"77" "ABW" "GLP" "0"
"78" "ABW" "GMB" "0"
"79" "ABW" "GNB" "0"
"80" "ABW" "GNQ" "0"
"81" "ABW" "GRC" "0"
"82" "ABW" "GRD" "0"
"83" "ABW" "GRL" "0"
"84" "ABW" "GTM" "0"
"85" "ABW" "GUF" "0"
"86" "ABW" "GUY" "0"
"87" "ABW" "HKG" "0"
"88" "ABW" "HND" "0"
"89" "ABW" "HRV" "0"
"90" "ABW" "HTI" "0"
"91" "ABW" "HUN" "0"
"92" "ABW" "IDN" "0"
"93" "ABW" "IND" "0"
"94" "ABW" "IRL" "0"
"95" "ABW" "IRN" "0"
"96" "ABW" "IRQ" "0"
"97" "ABW" "ISL" "0"
"98" "ABW" "ISR" "0"
"99" "ABW" "ITA" "0"
"100" "ABW" "JAM" "0"
"101" "ABW" "JOR" "0"
"102" "ABW" "JPN" "0"
"103" "ABW" "KAZ" "0"
"104" "ABW" "KEN" "0"
"105" "ABW" "KGZ" "0"
"106" "ABW" "KHM" "0"
"107" "ABW" "KIR" "0"
"108" "ABW" "KNA" "0"
