"V1" "V2" "V3"
"1" "ABW" "ABW" "5.2253"
"2" "ABW" "AFG" "13257.81"
"3" "ABW" "AGO" "9516.913"
"4" "ABW" "AIA" "983.2682"
"5" "ABW" "ALB" "9091.742"
"6" "ABW" "AND" "7572.788"
"7" "ABW" "ANT" "136.3848"
"8" "ABW" "ARE" "12735.01"
"9" "ABW" "ARG" "5396.22"
"10" "ABW" "ARM" "11107.78"
"11" "ABW" "ATG" "1024.995"
"12" "ABW" "AUS" "15237.5"
"13" "ABW" "AUT" "8719.13"
"14" "ABW" "AZE" "11503"
"15" "ABW" "BDI" "11120.47"
"16" "ABW" "BEL" "7847.07"
"17" "ABW" "BEN" "7979.945"
"18" "ABW" "BFA" "7414.016"
"19" "ABW" "BGD" "15473.46"
"20" "ABW" "BGR" "9348.039"
"21" "ABW" "BHR" "12308.36"
"22" "ABW" "BHS" "1588.515"
"23" "ABW" "BIH" "8936.664"
"24" "ABW" "BLR" "9382.626"
"25" "ABW" "BLZ" "2076.216"
"26" "ABW" "BMU" "2263.787"
"27" "ABW" "BOL" "3240.231"
"28" "ABW" "BRA" "4759.608"
"29" "ABW" "BRB" "1139.24"
"30" "ABW" "BRN" "18008.87"
"31" "ABW" "BTN" "15070.87"
"32" "ABW" "BWA" "11196.28"
"33" "ABW" "CAF" "9771.96"
"34" "ABW" "CAN" "3573.887"
"35" "ABW" "CCK" "18614.29"
"36" "ABW" "CHE" "8056.332"
"37" "ABW" "CHL" "5125.68"
"38" "ABW" "CHN" "14155.35"
"39" "ABW" "CIV" "7293.883"
"40" "ABW" "CMR" "9014.291"
"41" "ABW" "COG" "9613.901"
"42" "ABW" "COK" "10484.67"
"43" "ABW" "COL" "1036.634"
"44" "ABW" "COM" "12802.65"
"45" "ABW" "CPV" "5036.386"
"46" "ABW" "CRI" "1550.772"
"47" "ABW" "CUB" "1754.738"
"48" "ABW" "CXR" "19519.52"
"49" "ABW" "CYM" "1421.378"
"50" "ABW" "CYP" "10403.22"
"51" "ABW" "CZE" "8560.899"
"52" "ABW" "DEU" "8034.389"
"53" "ABW" "DJI" "12186.87"
"54" "ABW" "DMA" "989.9883"
"55" "ABW" "DNK" "8408.59"
"56" "ABW" "DOM" "663.0993"
"57" "ABW" "DZA" "7686.407"
"58" "ABW" "ECU" "1698.399"
"59" "ABW" "EGY" "10383.61"
"60" "ABW" "ERI" "11620.09"
"61" "ABW" "ESH" "6124.013"
"62" "ABW" "ESP" "7121.524"
"63" "ABW" "EST" "9088.512"
"64" "ABW" "ETH" "11817.33"
"65" "ABW" "FIN" "9087.563"
"66" "ABW" "FJI" "12692.41"
"67" "ABW" "FLK" "7248.144"
"68" "ABW" "FRA" "7685.884"
"69" "ABW" "FRO" "7410.507"
"70" "ABW" "FSM" "14263.71"
"71" "ABW" "GAB" "8868.927"
"72" "ABW" "GBR" "7541.243"
"73" "ABW" "GEO" "11056.94"
"74" "ABW" "GHA" "7697.944"
"75" "ABW" "GIB" "6937.016"
"76" "ABW" "GIN" "5940.813"
"77" "ABW" "GLP" "980.5495"
"78" "ABW" "GMB" "5785.502"
"79" "ABW" "GNB" "5912.736"
"80" "ABW" "GNQ" "8721.603"
"81" "ABW" "GRC" "9491.157"
"82" "ABW" "GRD" "911.348"
"83" "ABW" "GRL" "5921.006"
"84" "ABW" "GTM" "2220.068"
"85" "ABW" "GUF" "2128.791"
"86" "ABW" "GUY" "1458.406"
"87" "ABW" "HKG" "16131.13"
"88" "ABW" "HND" "1863.05"
"89" "ABW" "HRV" "8716.868"
"90" "ABW" "HTI" "709.3878"
"91" "ABW" "HUN" "8927.636"
"92" "ABW" "IDN" "19240.39"
"93" "ABW" "IND" "14258.17"
"94" "ABW" "IRL" "7174.017"
"95" "ABW" "IRN" "11880.18"
"96" "ABW" "IRQ" "11426.34"
"97" "ABW" "ISL" "6827.22"
"98" "ABW" "ISR" "10635.04"
"99" "ABW" "ITA" "8480.133"
"100" "ABW" "JAM" "938.3511"
"101" "ABW" "JOR" "10744.01"
"102" "ABW" "JPN" "13815.84"
"103" "ABW" "KAZ" "12977.21"
"104" "ABW" "KEN" "11887.17"
"105" "ABW" "KGZ" "12891.46"
"106" "ABW" "KHM" "17292"
"107" "ABW" "KIR" "12879.52"
"108" "ABW" "KNA" "952.6719"
"109" "ABW" "KOR" "14183.6"
"110" "ABW" "KWT" "11922.28"
"111" "ABW" "LAO" "16543.05"
"112" "ABW" "LBN" "10635.64"
"113" "ABW" "LBR" "6538.721"
"114" "ABW" "LBY" "8638.483"
"115" "ABW" "LCA" "1000.846"
"116" "ABW" "LKA" "16067.56"
"117" "ABW" "LSO" "11423.01"
"118" "ABW" "LTU" "9223.909"
"119" "ABW" "LUX" "7967.711"
"120" "ABW" "LVA" "9100.948"
"121" "ABW" "MAC" "16137.89"
"122" "ABW" "MAR" "6782.739"
"123" "ABW" "MDA" "9662.548"
"124" "ABW" "MDG" "13342.62"
"125" "ABW" "MDV" "15595.96"
"126" "ABW" "MEX" "3197.777"
"127" "ABW" "MHL" "12908.49"
"128" "ABW" "MKD" "9214.088"
"129" "ABW" "MLI" "6729.114"
"130" "ABW" "MLT" "8723.98"
"131" "ABW" "MMR" "16436.57"
"132" "ABW" "MNG" "13299.1"
"133" "ABW" "MNP" "15020.25"
"134" "ABW" "MOZ" "11878.69"
"135" "ABW" "MRT" "5824.114"
"136" "ABW" "MSR" "966.2597"
"137" "ABW" "MTQ" "1001.726"
"138" "ABW" "MUS" "14395.81"
"139" "ABW" "MWI" "11828.46"
"140" "ABW" "MYS" "18066.89"
"141" "ABW" "NAM" "10267.96"
"142" "ABW" "NCL" "13964.53"
"143" "ABW" "NER" "7796.389"
"144" "ABW" "NFK" "13783.12"
"145" "ABW" "NGA" "8081.917"
"146" "ABW" "NIC" "1761.929"
"147" "ABW" "NIU" "11484.71"
"148" "ABW" "NLD" "7896.896"
"149" "ABW" "NOR" "8301.125"
"150" "ABW" "NPL" "14828.1"
"151" "ABW" "NRU" "13604.61"
"152" "ABW" "NZL" "12981.52"
"153" "ABW" "OMN" "13155.52"
"154" "ABW" "PAK" "13581.61"
"155" "ABW" "PAL" "10625.24"
"156" "ABW" "PAN" "1102.975"
"157" "ABW" "PCN" "7735.013"
"158" "ABW" "PER" "2848.861"
"159" "ABW" "PHL" "16773.43"
"160" "ABW" "PLW" "16527.85"
"161" "ABW" "PNG" "15957.22"
"162" "ABW" "POL" "8990.023"
"163" "ABW" "PRI" "781.5696"
"164" "ABW" "PRK" "14063.87"
"165" "ABW" "PRT" "6637.424"
"166" "ABW" "PRY" "4418.076"
"167" "ABW" "PYF" "9348.107"
"168" "ABW" "QAT" "12436.23"
"169" "ABW" "REU" "14183.83"
"170" "ABW" "ROM" "9528.119"
"171" "ABW" "RUS" "9942.475"
"172" "ABW" "RWA" "11168.01"
"173" "ABW" "SAU" "12028.87"
"174" "ABW" "SDN" "10960.46"
"175" "ABW" "SEN" "5688.13"
"176" "ABW" "SGP" "18355.38"
"177" "ABW" "SHN" "7763.898"
"178" "ABW" "SLB" "14562.64"
"179" "ABW" "SLE" "6222.756"
"180" "ABW" "SLV" "2070.009"
"181" "ABW" "SMR" "8461.912"
"182" "ABW" "SOM" "12721.27"
"183" "ABW" "SPM" "4015.755"
"184" "ABW" "STP" "8580.347"
"185" "ABW" "SUR" "1793.713"
"186" "ABW" "SVK" "8778.741"
"187" "ABW" "SVN" "8601.009"
"188" "ABW" "SWE" "8715.387"
"189" "ABW" "SWZ" "11739.21"
"190" "ABW" "SYC" "13989.59"
"191" "ABW" "SYR" "10720.53"
"192" "ABW" "TCA" "998.4774"
"193" "ABW" "TCD" "9201.158"
"194" "ABW" "TGO" "7858.3"
"195" "ABW" "THA" "16930.21"
