,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MNE,MNG,MOZ,MRT,MUS,MWI,MYR,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
AFG,303.7614,7607.8,4342.117,5806.359,1813.615,15298.5,2266.15,12297.09,11433.49,4568.098,1822.217,5930.057,5416.121,7481.006,7497.595,2376.978,4043.005,2004.434,12518.58,4428.614,3880.9,13822.82,15349.95,13771.76,12465.55,5741.141,2103.501,8023.767,6188.315,10768.89,5247.043,16353.9,4180.438,8144.624,6842.123,7100.583,7100.583,14288.69,5824.411,9324.58,14334.57,12952.4,3257.972,4708.024,5226.514,3668.116,12416.77,4857.692,12709.28,5866.736,14950.6,3584.319,3706.288,6290.493,4238.918,4196.206,4254.794,12880.35,5590.381,9494.704,7263.688,5718.078,2270.991,7786.48,8955.442,8798.221,8805.014,7088.998,4058.47,12707.12,14157.62,12850.2,14078.02,4608.2,12861.0,4367.694,6000.786,1003.893,6085.926,1620.826,2285.353,6658.555,3199.193,4935.994,13173.26,3096.229,6278.016,1180.169,5221.581,1043.715,4421.175,11202.85,12346.53,5131.888,2079.553,3784.918,3088.869,8699.117,5133.119,12492.83,5247.043,3261.061,8347.427,4042.829,5304.336,4186.274,6811.536,5590.381,3626.967,6370.142,3406.564,13906.07,10652.17,4198.337,8056.615,4906.982,4258.76,3443.545,7760.658,8455.042,6210.945,6565.831,3784.918,4846.316,8405.997,7082.385,7391.676,14235.58,5361.4,5014.602,1710.066,10757.73,13762.0,1587.942,374.6522,14179.02,15811.19,5617.854,7294.72,9528.009,4267.977,4989.095,6791.342,14862.55,1987.925,3813.935,3367.526,5755.222,2425.437,4222.921,8799.582,5157.892,10680.29,8795.566,14203.46,4901.499,4380.182,4258.76,4222.921,7512.917,12679.81,4508.77,4719.426,4597.182,7872.171,4589.381,3022.602,5989.595,7601.833,3903.415,459.2474,1042.731,6000.786,13625.0,12807.0,5252.618,3581.608,12382.26,5574.784,5380.85,3580.626,15100.65,10847.88,751.2709,12577.82,13208.57,3884.103,11938.98,12020.44,3279.877,9273.133,7048.76,7088.189
AGO,7607.8,419.9666,5623.827,5837.088,5805.255,7792.03,6331.346,8746.965,13528.2,6357.017,6643.251,1878.576,6696.229,2071.837,2876.135,9121.098,5822.248,5615.473,10490.61,5888.789,7104.678,11578.9,8830.234,6559.966,8414.008,11386.53,9162.635,2223.578,1586.979,10904.94,6235.385,8914.097,11769.51,2480.138,1424.688,556.9467,556.9467,9911.524,3301.018,4839.974,10980.7,10977.25,5332.035,6560.238,6738.352,4015.184,8654.339,7179.064,9602.552,5194.244,10205.4,4736.951,3901.954,5752.252,7665.317,3464.567,7746.235,16618.51,6510.322,16170.59,1110.371,6837.594,6482.799,2192.395,3804.649,4132.186,3941.227,1485.016,5325.223,8613.741,11735.94,8109.865,11377.58,6086.698,9868.396,6296.004,10294.87,8025.968,7160.81,6368.018,5736.821,8642.954,5096.148,5645.243,10324.34,5140.358,13861.75,8643.737,2744.311,8454.77,10393.31,17657.94,8842.232,12705.4,5649.504,10254.81,5301.993,3154.236,4626.358,8580.775,6235.385,7594.32,2721.224,7158.965,6540.273,7388.835,5221.762,6510.322,6403.256,3857.428,6836.069,12686.0,17596.71,5719.467,3352.429,4980.603,6017.293,11014.06,2794.277,4395.738,4915.372,2314.207,10254.81,9900.254,1582.875,2778.376,2017.813,11252.12,6856.132,7655.045,8745.843,16933.59,13836.31,6115.173,7889.046,10468.29,9843.897,12159.63,13562.46,14529.4,6838.712,12578.15,5779.503,7684.19,5620.981,6066.591,7535.854,2014.346,5207.322,3447.449,4277.941,10104.83,15818.79,3517.934,11580.46,5875.244,3760.601,6017.293,3447.449,1239.145,7771.882,6355.751,6111.597,7599.202,2711.923,4687.008,5305.969,2345.135,2128.469,9955.721,7803.152,7002.799,10294.87,16570.23,8557.671,5092.534,5778.666,17554.26,2880.082,2373.897,6802.643,7581.052,10427.39,7977.375,8587.411,9137.924,10637.65,15999.4,16571.79,4352.742,2844.23,1791.822,2170.012
ALB,4342.117,5623.827,63.7731,1519.551,3702.809,11632.19,2077.855,8082.156,15722.44,812.9326,2520.89,5067.598,1589.107,4249.507,3845.117,6719.066,324.0465,3285.379,8763.203,303.8697,1505.639,10230.51,11056.12,9943.985,8181.91,10082.97,6426.47,7381.93,4114.247,7606.625,1167.984,12432.5,7686.079,4655.998,4253.419,5092.883,5092.883,10083.01,6371.083,5090.82,10418.61,9295.044,1366.294,1060.922,1493.096,4015.761,8173.444,1679.912,8638.148,1533.738,10728.15,1623.328,3426.688,1977.061,2041.537,4050.716,2122.475,16745.12,1603.534,13196.33,4676.458,1895.345,2076.242,4453.75,4965.696,4694.403,4758.288,4325.311,500.1241,8432.149,10563.5,8516.926,10354.04,585.956,8840.73,689.0358,10212.24,5322.44,2355.755,2808.604,2343.134,3675.061,1680.884,611.7626,9240.724,1773.421,9501.873,4615.345,5045.083,4444.737,8762.518,14570.17,8144.748,8562.792,2868.303,8119.246,1609.733,4933.823,1126.319,8230.828,1167.984,7028.389,7902.8,1540.066,1404.884,1765.015,2473.619,1603.534,955.9489,7283.476,6737.666,10807.12,13898.79,155.9628,4178.792,759.1236,393.4831,6559.96,7605.371,4264.968,7871.458,6321.25,8119.246,9108.602,7117.55,3539.309,4207.215,10434.08,1664.815,2160.437,6050.166,14417.34,17971.9,4096.846,4709.623,10127.47,11472.13,9850.101,11474.01,13790.3,1218.313,8371.93,2472.398,10877.48,3422.078,617.6277,2063.678,4925.967,3104.873,3119.727,4656.532,9424.125,14760.26,4893.526,10535.93,666.4761,5067.311,393.4831,3119.727,4764.449,8338.317,788.7294,678.3095,2006.998,7621.19,6266.362,1694.973,3280.218,4321.444,8241.192,4136.511,3299.434,10212.24,17378.83,8516.849,968.0001,765.4231,15853.2,5719.308,4740.878,1303.97,11489.65,7439.631,4072.698,8309.629,8971.885,8172.986,16048.52,15940.78,3720.742,8378.26,6381.482,6686.429
AND,5806.359,5837.088,1519.551,8.0054,5209.695,10534.54,3563.803,6565.212,17230.53,1322.201,3989.107,5822.925,952.5,4019.15,3371.456,8174.574,1781.612,4788.091,7282.864,1380.175,2286.099,8757.089,9673.922,8853.326,6678.091,11525.79,7857.009,7893.741,4568.265,6296.456,681.8435,11200.91,8764.593,4174.22,4414.949,5383.058,5383.058,8567.797,7379.25,3890.611,8906.517,7824.306,2861.284,1302.353,1080.611,5287.48,6660.167,1668.749,7120.631,643.623,9215.95,2985.844,4669.943,492.9274,2464.161,5203.134,2526.079,17306.23,711.5485,14049.99,4753.982,1009.577,3538.256,4116.134,4036.716,3672.97,3791.846,4373.242,1947.636,6926.07,9085.305,7044.977,8861.475,1210.269,7326.139,1484.944,11727.25,6800.609,1335.314,4317.099,3861.061,2833.952,3140.696,909.03,7732.52,3242.597,10354.8,5930.748,6022.721,5777.586,10220.6,15078.21,6626.813,9559.896,4378.464,9549.881,3101.943,4202.748,1490.659,6721.196,681.8435,8543.874,8424.815,2198.052,867.6033,2266.706,1190.488,711.5485,2205.669,8298.818,8228.938,9404.528,14409.84,1642.107,3444.35,1340.487,1547.884,7598.026,8261.125,3173.049,9030.344,7100.229,9549.881,10613.65,7417.142,3224.456,4017.01,8932.146,1125.463,2038.357,7501.161,15140.75,19455.71,5610.909,6165.773,8608.732,10007.42,11174.03,12727.14,15066.21,1817.341,9362.678,990.3965,9674.987,4922.985,1992.572,2973.003,5716.846,4576.11,4211.459,3593.611,10928.88,15799.38,4051.223,9048.448,905.0686,6262.439,1547.884,4211.459,4736.819,6886.903,1374.983,1107.667,2191.849,8242.634,7546.938,3187.884,3619.052,4043.897,9708.485,5558.318,4769.48,11727.25,17638.12,7015.764,976.5522,2274.607,16242.99,6693.941,5626.734,2372.859,10421.2,6064.699,5456.436,6801.578,7458.762,9560.423,17008.95,16704.83,5058.757,8681.076,7009.829,7367.205
ARE,1813.615,5805.255,3702.809,5209.695,108.789,13557.2,1979.161,11712.02,12092.16,4245.842,1819.476,4119.438,5159.97,5879.008,6035.036,3643.561,3493.288,426.6576,12456.86,3908.161,3961.286,13913.64,14022.32,12129.45,11741.67,6813.557,3539.244,6280.032,4435.249,11105.9,4830.737,14654.8,5966.427,6583.225,5133.86,5308.856,5308.856,13680.45,4200.173,8135.805,14115.79,12978.95,2348.921,4461.374,5004.562,1861.231,11779.04,4849.585,12322.73,5048.766,14293.43,2370.061,1914.748,5634.667,4521.909,2383.193,4570.317,14221.56,5249.535,11081.51,5535.105,5483.745,2114.942,6195.803,7575.714,7505.942,7470.093,5400.135,3264.319,11998.1,14250.57,11948.63,14053.64,4168.243,12534.01,4030.737,6613.254,2312.871,5925.424,1279.036,1384.182,6924.49,2099.993,4303.976,12941.74,1991.235,8062.889,2932.293,3437.679,2760.658,5501.911,12833.37,11782.34,6909.236,835.7674,5029.932,2110.076,7214.983,4112.479,11816.59,4830.737,3342.212,6642.855,4127.873,4999.584,4355.656,5957.76,5249.535,3379.927,4880.935,3044.644,14372.35,12334.04,3601.211,6661.39,4011.032,3799.896,5255.396,6084.785,7257.155,4978.871,4827.794,5029.932,5594.997,6607.643,5607.444,5782.212,14136.88,5170.816,5174.927,3101.719,12311.86,14269.96,438.8936,2083.979,13801.21,14751.96,7004.581,8676.9,10723.96,4181.628,6775.818,6107.288,13254.52,303.9436,3386.369,3739.195,3943.711,774.5853,2490.013,7540.002,5904.872,12017.19,7373.162,14231.77,4362.539,2680.361,3799.896,2490.013,5800.834,11708.35,4189.749,4284.904,4796.377,6183.374,3240.803,2024.291,4367.363,6006.473,4967.796,2082.549,1547.007,6613.254,14953.17,12059.1,4406.945,2994.246,13921.63,3852.073,3570.466,3545.552,13351.9,11029.46,2318.684,11886.66,12567.75,5265.521,13189.54,13390.29,1466.264,7530.202,5274.503,5347.186
ARG,15298.5,7792.03,11632.19,10534.54,13557.2,625.6475,13417.64,5776.082,11801.36,11833.76,13853.84,9604.157,11326.76,7854.464,7952.697,16788.4,11954.84,13304.57,6940.775,11694.93,12819.34,6604.474,2239.669,1691.067,5317.702,16656.76,16919.79,8001.549,9125.232,8970.104,11214.51,1128.317,19297.47,7231.426,8456.569,8261.97,8261.97,4706.263,10331.04,6643.946,5653.427,6909.934,12291.57,11836.83,11512.14,11807.19,5569.61,12089.47,6036.692,10188.35,4360.514,11838.13,11643.69,10065.85,12925.75,11256.4,12971.3,11625.82,11072.25,15167.74,8037.772,11147.48,13503.55,7560.425,6668.47,6944.681,6874.063,8210.386,11711.41,5212.585,6446.824,4611.63,6217.953,11656.09,6101.208,11957.08,15235.78,15817.92,11012.97,13803.13,13110.86,11455.87,12241.62,11173.56,6169.833,12330.83,18372.04,16110.66,10423.36,15918.23,16965.0,13533.33,5799.189,19447.35,13226.28,17399.46,12396.9,6772.831,10587.62,5424.776,11214.51,14774.54,7880.847,12731.28,11333.12,12773.93,9348.923,11072.25,12571.03,10212.05,14040.08,7397.651,14109.59,11787.62,7493.104,10906.92,11891.46,18125.58,8503.743,7401.539,10927.78,9345.976,17399.46,15970.66,7342.774,8342.004,7938.363,5975.677,11466.75,12270.74,16522.17,13900.24,9729.112,13896.67,15622.21,5334.829,3133.925,17801.66,16713.68,14425.68,12351.58,19419.04,9621.854,1051.13,13337.25,12249.37,13505.36,9763.369,12880.18,11085.43,6994.295,15891.11,13668.22,6759.124,6280.052,11313.26,11411.45,11891.46,11085.43,7785.758,4524.356,11879.9,11580.75,12585.03,8359.226,11873.59,12444.37,9322.412,7739.364,16890.18,15376.08,14471.17,15235.78,10911.55,5051.895,10668.78,12268.67,12301.17,10291.12,10137.2,12845.99,215.0746,8542.694,15457.45,5335.351,5114.314,17877.15,12384.6,12468.65,12133.34,6886.516,8756.319,8860.55
ARM,2266.15,6331.346,2077.855,3563.803,1979.161,13417.64,64.9295,10114.07,13666.9,2399.432,457.5143,5088.729,3299.886,5618.886,5464.988,4642.789,1785.844,1656.715,10600.74,2184.283,1983.94,12023.53,13105.0,11769.69,10241.7,8007.059,4360.26,7479.425,4754.974,9139.136,3051.854,14338.96,5947.15,6198.215,5224.684,5776.592,5776.592,12118.5,5772.269,7092.814,12346.34,11098.03,1129.579,2582.411,3126.056,3184.07,10217.3,2897.109,10612.22,3600.677,12772.0,1647.892,2818.984,4040.452,2546.553,3510.324,2597.746,15001.08,3434.071,11482.14,5674.918,3619.365,172.7219,5893.944,6817.399,6613.235,6642.441,5409.321,1806.064,10489.04,12364.26,10593.76,12203.89,2391.389,10794.76,2186.893,8175.623,3245.064,4037.116,789.0012,762.4228,4948.93,1254.709,2677.67,11161.47,1196.113,7943.638,2700.251,4680.579,2512.077,6684.962,13075.43,10171.4,6882.943,1248.981,6049.0,1063.763,6649.885,2911.988,10282.29,3051.854,5106.343,7932.732,2151.497,3160.368,2376.555,4545.386,3434.071,1469.285,6579.582,4950.312,12406.08,12452.5,1936.723,5949.743,2656.562,2027.757,4924.905,7465.288,6235.412,6850.985,6127.386,6049.0,7051.041,7539.966,5078.042,5545.438,12316.62,3282.178,3199.743,3975.874,12749.68,15974.44,2270.178,2635.964,12105.08,13549.98,7832.967,9489.721,11767.51,2236.784,6707.085,4540.028,12787.09,1786.216,1581.005,1803.035,4912.365,1741.738,2976.971,6599.537,7366.046,12851.13,6691.235,12366.14,2660.721,4246.931,2027.757,2976.971,5864.971,10415.96,2340.185,2506.938,2817.471,7531.662,5112.657,1040.517,4251.364,5724.177,6163.356,2094.471,1223.83,8175.623,15729.9,10579.57,2990.33,1315.561,14337.36,5261.924,4596.694,1575.587,13248.01,9088.867,2081.25,10363.68,11015.28,6124.733,14132.31,14144.44,2758.486,8671.851,6417.901,6606.1
ATG,12297.09,8746.965,8082.156,6565.212,11712.02,5776.082,10114.07,7.9076,16255.91,7737.498,10518.72,10249.4,6881.374,7083.734,6474.614,14576.48,8344.458,11285.37,1834.379,7935.534,8442.194,2865.189,3807.266,4818.193,508.1496,17552.78,14193.42,10586.92,8858.907,3382.002,7067.338,5713.025,13681.69,6423.863,8120.839,8787.793,8787.793,2004.484,11982.51,4101.707,2531.254,2249.123,9384.479,7589.502,7071.959,11189.11,209.6386,7475.542,855.9273,6664.19,2659.824,9358.75,10613.88,6108.097,8189.957,10837.61,8195.498,13672.27,6708.77,14876.06,8012.726,6582.637,10070.14,6816.111,5054.176,4857.493,4999.796,7835.236,8474.119,564.0186,3080.378,1220.723,2741.802,7723.157,1123.375,7943.171,18289.65,13300.81,6235.451,10879.84,10411.01,6032.662,9612.268,7470.406,1590.519,9721.466,13731.89,12105.75,10980.71,12004.7,16521.16,13662.76,95.3857,13883.16,10901.94,15771.17,9615.645,5675.93,7613.511,358.6497,7067.338,15042.62,10876.0,8287.743,6993.669,8181.331,5758.04,6708.77,8681.602,12603.89,14580.16,3946.302,13605.67,8207.319,5796.132,7701.25,8086.51,12708.61,11269.44,4853.418,13662.26,11057.18,15771.17,17142.4,9657.496,6842.872,7183.191,2691.61,6941.241,7404.58,13914.63,14386.2,13979.16,12134.08,12632.48,2119.009,3658.705,16486.75,16772.25,16789.7,8034.279,13736.07,5620.75,4738.802,11412.71,8533.067,9028.146,10282.31,11003.94,9960.309,4749.499,17451.36,15437.81,5341.894,2955.686,7459.609,11771.54,8086.51,9960.309,7733.391,1445.231,7797.081,7608.17,7813.241,11138.72,13069.83,9700.314,8239.445,6966.841,16087.87,11977.96,11288.44,18289.65,13066.9,724.2523,7306.661,8839.779,13365.25,11420.6,10475.68,8718.199,5824.032,2876.399,11809.47,442.4938,913.6557,15580.65,14726.57,14291.27,11149.98,10213.76,10528.72,10886.76
AUS,11433.49,13528.2,15722.44,17230.53,12092.16,11801.36,13666.9,16255.91,1042.817,15988.95,13244.84,12673.1,16759.6,15588.36,16383.96,9077.625,15449.53,12518.59,15278.03,15851.07,15157.96,13821.95,13045.96,13371.76,16159.07,5756.495,9413.485,11312.15,14139.34,15586.66,16673.2,11353.72,8956.436,15950.81,14687.67,13759.13,13759.13,14260.45,10894.3,17855.77,13829.48,14717.39,14426.82,16097.52,16562.72,12390.16,16171.07,16054.1,15636.41,17139.16,13617.09,14425.52,13000.68,17699.45,15241.88,12635.79,15211.41,3224.041,16975.46,4602.055,14576.87,17011.27,13695.83,15717.05,17008.56,17449.47,17241.67,14894.97,15337.68,15910.92,13518.06,15767.02,13788.73,16041.65,15408.26,15795.78,5511.902,10435.1,17230.5,12915.79,13400.57,16632.49,14191.52,16333.25,14968.03,14083.24,7831.446,11415.23,12158.13,11550.83,7037.221,4549.427,16189.28,8329.652,12907.86,7731.611,14194.54,16446.83,16157.12,16114.25,16673.2,8751.808,10838.48,15291.39,16686.87,15331.2,18008.29,16975.46,15056.51,10050.92,9147.749,12985.17,5032.042,15592.61,16866.65,16101.02,15688.82,10114.63,10738.99,17865.14,9105.979,11533.4,7731.611,6617.087,12088.9,16180.32,15521.28,13756.67,16658.11,15963.53,9751.761,4059.163,2333.461,11674.18,11079.12,14172.62,12809.17,6275.747,4913.447,2745.258,15607.68,8523.643,18190.62,12780.68,12389.05,15242.04,14503.07,12709.23,12782.14,13599.55,17604.14,6301.786,2862.103,16790.26,13586.53,16327.27,11601.35,15688.82,13599.55,14762.63,15895.18,15930.48,16152.8,15608.91,10816.67,10253.88,14109.6,14989.02,15654.92,7539.52,11703.24,12465.73,5511.902,3585.603,15821.03,16498.66,14960.31,4027.207,11565.75,12644.1,14956.91,11864.05,16008.79,11828.84,16034.79,15372.93,7769.68,2476.587,3050.82,12510.67,11015.12,11866.07,11469.38
AUT,4568.098,6357.017,812.9326,1322.201,4245.842,11833.76,2399.432,7737.498,15988.95,108.9196,2783.875,5877.728,914.4633,4835.427,4329.612,6911.951,820.7289,3849.087,8225.953,509.7472,998.225,9671.175,10983.02,10146.47,7898.038,10241.08,6576.896,8176.988,4883.329,6922.538,684.8875,12522.0,7468.012,5152.116,4959.645,5838.688,5838.688,9738.664,7174.249,5194.904,9950.39,8738.225,2017.949,252.4479,763.7314,4774.016,7851.18,868.5304,8213.607,1670.577,10396.99,2386.201,4200.483,1811.999,1360.358,4841.559,1437.813,16312.15,1035.144,12855.79,5365.809,1238.199,2338.601,5003.89,5247.866,4918.574,5016.396,5001.591,1283.6,8139.028,10009.64,8311.139,9828.929,270.6798,8395.361,215.6626,10553.88,5571.096,1681.996,3184.971,2861.764,2891.521,2369.546,767.4132,8765.403,2446.274,9141.063,4615.688,5854.16,4466.661,8951.857,14074.23,7790.902,8289.029,3416.626,8263.672,2252.977,5320.935,1744.687,7925.084,684.8875,7497.094,8700.506,948.9832,762.4356,1102.181,2488.828,1035.144,944.1378,8083.425,7286.91,10163.51,13396.95,799.0887,4552.871,1379.07,491.769,6308.009,8413.984,4439.778,8641.501,7133.681,8263.672,9410.919,7878.468,4079.252,4806.406,9931.195,934.7828,1351.699,6237.937,14018.56,18322.31,4603.866,4915.899,9706.064,11269.33,9853.35,11407.04,13746.31,556.8245,8093.14,2299.266,10991.95,3988.084,859.6657,1675.699,5737.457,3734.89,3925.517,4854.112,9723.795,14542.1,5222.959,9999.102,561.1404,5841.637,491.769,3925.517,5424.645,8171.026,59.6172,277.8844,1242.31,8427.488,7003.421,2332.466,4014.392,4891.671,8450.441,4285.86,3550.955,10553.88,16848.06,8240.015,1362.566,1275.02,15328.02,6527.19,5553.761,1052.484,11712.82,6798.701,4164.072,8009.796,8645.725,8254.594,15797.09,15582.83,4453.244,9145.618,7185.723,7495.149
