,Homosexuality,Gay Marriage,Censorship,Changing Gender,Gender-Affirming Care,Non-Binary Gender Recognition,Discrimination,Employment Discrimination,Housing Discrimination,Adoption,Intersex Infant Surgery,Military,Donating Blood,Conversion Therapy,Age of Consent
bahrain,✔ Legal,✖ Banned,✖ Imprisonment as punishment,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,Unknown,Unknown,✖ Banned (indefinite deferral),✖ Not banned,Unknown
bhutan,✔ Legal,✖ Unrecognized,✔ No censorship,"✖ Legal, but requires medical diagnosis",✖ Restricted,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,✔ Legal,✔ Legal,✖ Not banned,✔ Equal
cambodia,✔ Legal,Varies by Region,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,Ambiguous,✖ Not banned,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
china,✔ Legal,✖ Civil unions (limited rights),✖ State-enforced,"✖ Legal, but requires surgery",✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Ambiguous,Ambiguous,✖ Banned (indefinite deferral),✖ Not banned,✔ Equal
india,✔ Legal,✖ Unregistered cohabitation,✔ No censorship,"✖ Legal, but requires surgery",✔ Legal,✔ Recognized,✖ Illegal in some contexts,✖ Gender identity only,✖ Gender identity only,✖ Single only,Varies by Region,✖ Illegal,✖ Banned (indefinite deferral),Varies by Region,✔ Equal
israel,✔ Legal,✖ Foreign same-sex marriages recognized only,✔ No censorship,"✖ Legal, but requires medical diagnosis",✔ Legal,✖ Not legally recognized,✖ Illegal in some contexts,✔ Sexual orientation and gender identity,✖ No protections,✔ Legal,✖ Not banned,✔ Legal,✔ Legal,✔ Banned,✔ Equal
japan,✔ Legal,Varies by Region,✔ No censorship,"✖ Legal, but requires surgery",✔ Legal,✖ Not legally recognized,✖ Illegal in some contexts,Varies by Region,✔ Sexual orientation and gender identity,Ambiguous,✖ Not banned,✔ Legal,✖ Banned (6-month deferral),✖ Not banned,✔ Equal
jordan,✔ Legal,✖ Unrecognized,✖ Imprisonment as punishment,"✖ Legal, but requires surgery",✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,Unknown,"✖ Don't Ask, Don't Tell",✔ Legal,✖ Not banned,✔ Equal
kazakhstan,✔ Legal,✖ Unrecognized,✖ State-enforced,"✖ Legal, but requires surgery",✔ Legal,✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Illegal,✖ Parental approval required,✔ Legal,✔ Legal,✖ Not banned,✔ Equal
kyrgyzstan,✔ Legal,✖ Banned,Ambiguous,"✖ Legal, but requires surgery",✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,"✖ Don't Ask, Don't Tell",✔ Legal,✖ Not banned,✔ Equal
