,1990,1995,2000,2005,2010,2015,2020,1990,1995,2000,2005,2010,2015,2020,1990,1995,2000,2005,2010,2015,2020
   Burundi,333 110,254 853,125 628,192 774,247 321,298 299,344 767,163 267,124 165,61 094,94 413,121 762,146 970,170 125,169 843,130 688,64 534,98 361,125 559,151 329,174 642
   Comoros,14 079,13 939,13 799,13 209,12 618,12 555,12 496,6 717,6 614,6 511,6 286,6 060,6 071,6 044,7 362,7 325,7 288,6 923,6 558,6 484,6 452
   Djibouti,122 221,99 774,100 507,92 110,102 307,112 351,119 738,64 242,52 476,52 920,51 331,53 669,59 081,62 863,57 979,47 298,47 587,40 779,48 638,53 270,56 875
   Eritrea,11 848,12 400,12 952,15 905,15 813,15 941,13 934,6 228,6 542,6 856,8 603,8 679,8 833,7 815,5 620,5 858,6 096,7 302,7 134,7 108,6 119
   Ethiopia,1 155 390,806 904,611 384,514 451,568 748,1 161 642,1 085 517,607 284,424 117,322 219,269 834,298 069,591 409,536 807,548 106,382 787,289 165,244 617,270 679,570 233,548 710
   Kenya,298 089,618 745,707 852,773 354,954 925,1 126 886,1 050 147,161 259,322 189,352 933,400 364,473 093,562 909,529 975,136 830,296 556,354 919,372 990,481 832,563 977,520 172
   Madagascar,23 917,21 177,23 541,26 058,28 905,32 075,35 563,13 348,11 901,13 276,14 744,16 410,18 270,20 262,10 569,9 276,10 265,11 314,12 495,13 805,15 301
   Malawi,1 127 724,241 624,232 620,221 661,217 722,197 328,191 362,546 520,116 198,111 530,105 931,103 869,93 689,93 612,581 204,125 426,121 090,115 730,113 853,103 639,97 750
   Mauritius*,3 613,7 493,15 543,19 647,24 836,28 585,28 893,1 763,3 228,5 705,8 943,13 188,15 832,16 003,1 850,4 265,9 838,10 704,11 648,12 753,12 890
   Mayotte*,15 229,26 316,45 474,63 176,72 757,81 386,111 540,8 780,14 679,23 546,31 364,34 500,37 657,51 609,6 449,11 637,21 928,31 812,38 257,43 729,59 931
   Mozambique,122 332,168 256,195 702,268 694,306 471,321 794,338 850,66 060,91 210,103 175,130 290,148 105,155 510,165 490,56 272,77 046,92 527,138 404,158 366,166 284,173 360
   R‚union*,57 210,77 159,100 678,115 076,123 029,127 209,131 769,30 724,40 710,52 264,59 196,62 707,64 537,66 852,26 486,36 449,48 414,55 880,60 322,62 672,64 917
   Rwanda,160 024,215 735,347 076,423 187,426 901,514 647,513 907,80 763,109 783,175 741,213 279,214 048,256 327,259 907,79 261,105 952,171 335,209 908,212 853,258 320,254 000
   Seychelles,3 721,5 148,6 574,8 997,11 420,12 791,13 050,2 204,3 021,3 837,5 820,7 804,8 954,9 136,1 517,2 127,2 737,3 177,3 616,3 837,3 914
   Somalia,478 294,19 527,20 097,20 768,48 106,40 990,58 590,244 201,10 282,10 628,11 098,25 213,21 584,32 285,234 093,9 245,9 469,9 670,22 893,19 406,26 305
   South Sudan,..,..,..,..,230 732,844 112,882 252,..,..,..,..,119 106,430 944,443 405,..,..,..,..,111 626,413 168,438 847
   Uganda,544 273,606 987,584 280,593 308,492 930,851 175,1 720 313,283 337,308 281,290 859,292 130,241 903,415 845,827 664,260 936,298 706,293 421,301 178,251 027,435 330,892 649
   United Republic of Tanzania*,574 025,1 106 043,949 600,771 153,309 847,384 567,426 017,283 390,547 089,481 816,486 983,154 591,190 617,213 007,290 635,558 954,467 784,284 170,155 256,193 950,213 010
