,1990,1995,2000,2005,2010,2015,2020
Burundi,333 110,254 853,125 628,192 774,247 321,298 299,344 767
Comoros,14 079,13 939,13 799,13 209,12 618,12 555,12 496
Djibouti,122 221,99 774,100 507,92 110,102 307,112 351,119 738
Eritrea,11 848,12 400,12 952,15 905,15 813,15 941,13 934
Ethiopia,1 155 390,806 904,611 384,514 451,568 748,1 161 642,1 085 517
Kenya,298 089,618 745,707 852,773 354,954 925,1 126 886,1 050 147
Madagascar,23 917,21 177,23 541,26 058,28 905,32 075,35 563
Malawi,1 127 724,241 624,232 620,221 661,217 722,197 328,191 362
Mauritius,3 613,7 493,15 543,19 647,24 836,28 585,28 893
Mayotte,15 229,26 316,45 474,63 176,72 757,81 386,111 540
Mozambique,122 332,168 256,195 702,268 694,306 471,321 794,338 850
R‚union,57 210,77 159,100 678,115 076,123 029,127 209,131 769
Rwanda,160 024,215 735,347 076,423 187,426 901,514 647,513 907
Seychelles,3 721,5 148,6 574,8 997,11 420,12 791,13 050
Somalia,478 294,19 527,20 097,20 768,48 106,40 990,58 590
South Sudan,..,..,..,..,230 732,844 112,882 252
Uganda,544 273,606 987,584 280,593 308,492 930,851 175,1 720 313
United Republic of Tanzania,574 025,1 106 043,949 600,771 153,309 847,384 567,426 017
Zambia,279 463,244 338,343 703,252 895,149 962,132 107,187 955
Zimbabwe,634 621,431 226,410 109,402 226,398 307,400 482,416 141
Angola,33 517,39 813,46 108,62 331,336 367,632 178,656 434
Cameroon,265 967,244 791,227 242,265 503,291 474,508 346,579 209
Central African Republic,67 234,99 712,123 529,96 409,94 685,81 568,88 546
Chad,74 342,89 584,104 825,352 130,417 034,466 968,547 494
Congo,129 391,191 635,305 880,318 724,425 173,390 142,387 606
Democratic Republic of the Congo,754 194,1 816 963,744 387,623 009,589 882,810 018,952 871
Equatorial Guinea,2 740,3 629,4 517,6 588,8 658,209 611,230 618
Gabon,128 188,171 427,214 431,233 824,270 829,378 686,416 651
Sao Tome and Principe,5 582,4 936,4 365,3 433,2 700,2 394,2 139
Algeria,273 954,262 032,250 110,197 728,217 268,239 473,250 378
Egypt,173 833,166 955,184 774,285 006,310 017,353 641,543 937
Libya,457 075,508 041,567 436,625 412,687 192,771 146,826 537
Morocco,54 895,50 360,53 034,56 222,71 189,92 424,102 358
Sudan,1 402 896,1 053 396,805 086,546 419,618 709,620 523,1 379 147
Tunisia,37 984,37 867,36 719,35 040,43 172,56 532,60 145
Western Sahara,2 688,2 989,3 289,3 891,4 493,5 179,5 424
Botswana,27 510,40 168,74 934,84 661,94 863,103 053,110 268
Eswatini,74 991,35 157,34 084,33 392,32 637,32 352,32 858
Lesotho,8 240,7 204,6 167,6 290,6 414,9 152,12 060
Namibia,120 641,115 372,135 547,107 347,103 826,101 618,109 391
South Africa,1 163 883,1 003 807,1 016 963,1 351 031,2 114 801,3 231 728,2 860 495
Benin,76 751,105 703,134 655,248 320,309 225,366 284,394 276
Burkina Faso,349 652,464 104,520 363,597 658,674 438,704 676,723 989
Cabo Verde,8 931,9 979,11 027,12 700,14 373,14 924,15 788
Cote d'Ivoire,1 816 426,2 076 394,2 163 644,2 265 090,2 366 537,2 470 613,2 564 857
Gambia,118 123,150 890,182 514,181 839,185 837,192 540,215 659
Ghana,164 851,252 879,191 601,309 932,337 766,414 744,476 412
Guinea,403 621,774 505,560 075,233 419,178 762,126 657,121 437
Guinea-Bissau,15 368,27 961,20 450,20 902,21 391,22 333,17 945
Liberia,94 964,208 563,151 868,87 217,99 165,112 111,87 947
Mali,160 736,176 187,189 475,258 630,341 078,420 504,485 829
Mauritania,111 650,89 562,57 366,58 211,84 920,166 552,182 286
Niger,115 464,145 999,122 260,124 509,126 482,252 998,348 056
Nigeria,456 621,462 999,487 882,969 714,990 494,1 199 115,1 308 568
Saint Helena,178,117,108,163,248,377,437
Senegal,270 410,287 654,231 901,238 298,256 092,266 496,274 929
Sierra Leone,222 148,98 516,97 974,146 227,79 265,58 830,53 746
Togo,84 844,101 583,137 968,204 219,255 564,277 384,279 936
Kazakhstan,3 619 200,3 251 968,2 874 194,3 103 027,3 334 937,3 546 060,3 732 073
Kyrgyzstan,623 083,518 338,389 824,309 399,232 065,204 382,199 011
Tajikistan,428 900,348 347,299 499,280 466,279 808,275 101,276 031
Turkmenistan,306 500,273 565,219 067,213 053,197 979,196 376,194 920
Uzbekistan,1 653 000,1 512 577,1 406 498,1 329 932,1 220 149,1 170 873,1 162 007
China,376 361,442 198,508 034,678 947,849 861,978 046,1 039 675
"China, Hong Kong SAR",2 218 473,2 443 798,2 669 122,2 721 235,2 779 950,2 841 113,2 962 492
"China, Macao SAR",205 047,224 929,240 791,279 308,318 506,376 066,403 490
Dem. People's Republic of Korea,34 103,35 143,36 183,40 097,44 010,48 458,49 549
Japan,1 075 317,1 362 371,1 686 444,2 011 555,2 134 151,2 232 189,2 770 996
Mongolia,6 718,7 424,8 206,11 477,16 062,19 886,21 345
Republic of Korea,43 247,123 886,244 224,486 065,919 987,1 370 905,1 728 182
Brunei Darussalam,73 200,84 748,96 296,98 441,100 587,102 733,111 959
Cambodia,38 375,92 230,146 085,114 096,82 028,73 962,79 341
Indonesia,465 612,378 960,292 307,289 310,307 487,338 124,355 505
Lao People's Democratic Republic,22 866,23 526,21 948,20 371,32 955,45 538,48 731
Malaysia,695 920,937 368,1 463 598,1 918 504,2 417 395,3 280 681,3 476 560
Myanmar,133 545,113 663,98 011,83 025,76 414,73 309,76 446
Philippines,154 071,207 345,318 095,257 468,208 599,211 862,225 525
Singapore,727 262,991 492,1 351 691,1 710 594,2 164 794,2 483 405,2 523 648
Thailand,528 693,809 720,1 257 821,2 195 610,3 234 381,3 470 220,3 632 496
Timor-Leste,8 954,9 743,10 602,11 286,11 540,8 520,8 399
