access to nationality,,anti discrimination,,education,,family reunion,,health,,labour market mobility,,permanent residence,,political participation,
new zealand,92,sweden,100,sweden,93,brazil,94,ireland,85,portugal,94,finland,96,finland,95
argentina,91,belgium,100,finland,88,canada,88,sweden,83,sweden,91,brazil,96,luxembourg,85
brazil,91,portugal,100,canada,86,portugal,87,new zealand,83,finland,91,mexico,90,ireland,85
canada,88,canada,100,USA,83,estonia,76,switzerland,83,norway,85,ukraine,90,new zealand,85
USA,88,finland,100,australia,79,indonesia,75,spain,81,germany,81,sweden,90,norway,80
portugal,86,north macedonia,100,new zealand,76,india,75,austria,81,canada,76,south africa,81,portugal,80
sweden,83,bulgaria,100,belgium,74,new zealand,74,italy,79,estonia,69,hungary,81,sweden,80
luxembourg,79,south africa,100,korea,72,slovenia,72,USA,79,USA,69,chile,79,denmark,70
ireland,79,USA,97,norway,71,sweden,71,australia,79,brazil,67,canada,77,belgium,65
albania,76,hungary,96,estonia,69,argentina,69,united kingdom,75,spain,67,slovenia,77,korea,65
australia,76,romania,96,portugal,69,spain,69,norway,75,italy,67,iceland,77,iceland,65
finland,74,united kingdom,94,luxembourg,64,australia,68,belgium,73,korea,65,estonia,75,australia,65
france,70,ireland,94,czechia,60,finland,67,chile,73,netherlands,65,spain,75,germany,60
belgium,65,ukraine,94,netherlands,57,romania,67,canada,73,denmark,65,belgium,75,switzerland,55
israel,63,serbia,90,germany,55,mexico,66,turkey,69,switzerland,63,argentina,71,spain,55
malta,63,slovenia,90,austria,52,serbia,65,finland,67,greece,61,norway,71,netherlands,50
united kingdom,61,luxembourg,89,turkey,52,italy,64,portugal,65,japan,59,portugal,71,canada,50
iceland,55,argentina,88,switzerland,48,czechia,63,netherlands,65,austria,59,moldova,69,france,45
netherlands,55,new zealand,88,ireland,45,USA,62,japan,65,new zealand,59,north macedonia,69,united kingdom,45
cyprus,53,brazil,85,iceland,45,iceland,62,france,65,south africa,57,bulgaria,69,chile,40
chile,53,chile,85,denmark,45,japan,62,germany,63,serbia,57,italy,67,USA,40
poland,50,netherlands,85,lithuania,43,albania,61,israel,63,belgium,56,slovakia,65,malta,35
norway,50,moldova,84,spain,43,moldova,61,united arab emirates,62,mexico,54,japan,63,brazil,35
turkey,50,slovakia,79,italy,43,slovakia,59,czechia,61,czechia,54,USA,63,russia,30
china,50,france,79,serbia,43,north macedonia,58,malta,56,france,52,new zealand,63,japan,30
japan,47,italy,78,romania,41,israel,58,denmark,56,israel,52,serbia,60,argentina,30
ukraine,47,croatia,71,malta,40,poland,58,iceland,54,lithuania,52,korea,60,slovenia,30
korea,44,germany,70,cyprus,40,hungary,58,slovakia,50,croatia,50,france,58,cyprus,25
russia,44,australia,69,united kingdom,40,norway,58,greece,48,malta,48,united kingdom,58,italy,25
moldova,42,greece,67,france,36,ukraine,57,luxembourg,46,united kingdom,48,indonesia,58,mexico,25
germany,42,mexico,67,greece,36,south africa,57,romania,46,moldova,48,luxembourg,58,estonia,20
denmark,41,latvia,67,slovenia,33,china,56,argentina,44,bulgaria,48,romania,56,latvia,20
italy,40,norway,65,croatia,33,korea,54,mexico,42,romania,46,germany,54,israel,20
greece,40,czechia,64,japan,33,turkey,53,korea,40,albania,46,albania,54,greece,20
serbia,38,malta,63,poland,33,luxembourg,52,serbia,40,ukraine,46,china,54,austria,20
mexico,38,poland,63,israel,31,united arab emirates,52,south africa,40,argentina,44,croatia,54,albania,15
romania,38,cyprus,62,mexico,29,greece,52,north macedonia,38,china,44,netherlands,52,ukraine,15
south africa,36,spain,59,united arab emirates,29,ireland,48,cyprus,36,australia,37,lithuania,52,hungary,15
czechia,36,iceland,57,latvia,26,croatia,48,moldova,36,hungary,37,poland,50,moldova,15
indonesia,34,israel,56,argentina,26,belgium,48,slovenia,33,luxembourg,35,cyprus,50,croatia,10
spain,30,austria,53,albania,21,latvia,47,latvia,31,iceland,33,austria,50,poland,10
switzerland,28,lithuania,51,north macedonia,21,russia,46,lithuania,31,latvia,33,czechia,50,serbia,10
slovakia,28,denmark,51,bulgaria,21,chile,44,brazil,31,north macedonia,31,ireland,50,czechia,10
hungary,25,korea,51,chile,21,jordan,43,hungary,29,poland,31,switzerland,48,romania,5
latvia,24,turkey,50,moldova,19,saudi arabia,43,bulgaria,29,chile,30,greece,46,slovakia,5
lithuania,22,albania,50,india,19,france,43,estonia,29,russia,28,india,46,lithuania,5
slovenia,22,estonia,48,jordan,19,lithuania,43,ukraine,27,slovenia,26,russia,46,turkey,5
north macedonia,22,united arab emirates,38,brazil,14,germany,42,croatia,27,cyprus,24,latvia,46,south africa,5
jordan,22,switzerland,38,russia,12,switzerland,41,poland,27,united arab emirates,24,australia,46,china,0
croatia,19,russia,22,china,7,bulgaria,38,china,25,ireland,22,israel,46,jordan,0
india,16,china,19,ukraine,7,austria,36,russia,23,turkey,22,malta,46,saudi arabia,0
estonia,16,japan,16,slovakia,7,malta,36,saudi arabia,21,jordan,19,turkey,42,indonesia,0
austria,13,saudi arabia,15,saudi arabia,5,cyprus,35,jordan,17,slovakia,17,denmark,42,india,0
bulgaria,13,indonesia,13,south africa,5,netherlands,31,albania,15,indonesia,17,jordan,42,north macedonia,0
united arab emirates,9,india,9,hungary,0,united kingdom,29,indonesia,13,india,17,united arab emirates,17,united arab emirates,0
saudi arabia,0,jordan,4,indonesia,0,denmark,25,india,12,saudi arabia,0,saudi arabia,0,bulgaria,0
