,1990,1995,2000,2005,2010,2015,2020
Burundi,6.1,4.3,2,2.6,2.9,2.9,2.9
Comoros,3.4,2.9,2.5,2.2,1.8,1.6,1.4
Djibouti,20.7,15.8,14,11.8,12.2,12.3,12.1
Eritrea,0.5,0.6,0.6,0.6,0.5,0.5,0.4
Ethiopia,2.4,1.4,0.9,0.7,0.6,1.2,0.9
Kenya,1.3,2.2,2.2,2.1,2.3,2.4,2
Madagascar,0.2,0.2,0.1,0.1,0.1,0.1,0.1
Malawi,12,2.5,2.1,1.8,1.5,1.2,1
Mauritius,0.3,0.7,1.3,1.6,2,2.3,2.3
Mayotte,16.1,21.4,30.2,35.5,34.9,33.9,40.9
Mozambique,0.9,1.1,1.1,1.3,1.3,1.2,1.1
Réunion,9.4,11.5,13.7,14.5,14.8,14.7,14.7
Rwanda,2.2,3.7,4.4,4.8,4.3,4.5,4
Seychelles,5.3,6.7,8.1,10.1,12.5,13.5,13.3
Somalia,6.6,0.3,0.2,0.2,0.4,0.3,0.4
South Sudan,..,..,..,..,2.4,7.9,7.9
Uganda,3.1,3,2.5,2.1,1.5,2.2,3.8
United Republic of Tanzania,2.3,3.7,2.8,2,0.7,0.7,0.7
Zambia,3.5,2.7,3.3,2.1,1.1,0.8,1
Zimbabwe,6.1,3.8,3.5,3.3,3.1,2.9,2.8
Angola,0.3,0.3,0.3,0.3,1.4,2.3,2
Cameroon,2.3,1.8,1.5,1.5,1.4,2.2,2.2
Central African Republic,2.4,3.1,3.4,2.4,2.2,1.8,1.8
Chad,1.2,1.3,1.3,3.5,3.5,3.3,3.3
Congo,5.5,7.1,9.8,8.8,9.9,8,7
Democratic Republic of the Congo,2.2,4.4,1.6,1.1,0.9,1.1,1.1
Equatorial Guinea,0.7,0.7,0.7,0.9,0.9,17.9,16.4
Gabon,13.5,15.8,17.5,16.8,16.7,19.4,18.7
Sao Tome and Principe,4.7,3.7,3.1,2.2,1.5,1.2,1
Algeria,1.1,0.9,0.8,0.6,0.6,0.6,0.6
Egypt,0.3,0.3,0.3,0.4,0.4,0.4,0.5
Libya,10.3,10.3,10.6,10.8,11.1,12,12
Morocco,0.2,0.2,0.2,0.2,0.2,0.3,0.3
Sudan,7,4.4,3,1.8,1.8,1.6,3.1
Tunisia,0.5,0.4,0.4,0.3,0.4,0.5,0.5
Western Sahara,1.2,1.2,1,0.9,0.9,1,0.9
Botswana,2.1,2.7,4.6,4.7,4.8,4.9,4.7
Eswatini,9.1,3.8,3.4,3.2,3.1,2.9,2.8
Lesotho,0.5,0.4,0.3,0.3,0.3,0.4,0.6
Namibia,8.4,7.1,7.6,5.5,4.9,4.4,4.3
South Africa,3.2,2.4,2.3,2.8,4.1,5.8,4.8
Benin,1.5,1.8,2,3.1,3.4,3.5,3.3
Burkina Faso,4,4.6,4.5,4.5,4.3,3.9,3.5
Cabo Verde,2.6,2.6,2.6,2.7,2.9,2.8,2.8
Côte d'Ivoire,15.2,14.6,13.1,12.3,11.5,10.6,9.7
Gambia,12.4,13.4,13.9,11.8,10.4,9.2,8.9
Ghana,1.1,1.5,1,1.4,1.4,1.5,1.5
Guinea,6.4,10.7,6.8,2.6,1.8,1.1,0.9
Guinea-Bissau,1.6,2.6,1.7,1.6,1.4,1.3,0.9
Liberia,4.6,10.2,5.3,2.7,2.5,2.5,1.7
Mali,1.9,1.8,1.7,2,2.3,2.4,2.4
Mauritania,5.5,3.9,2.2,1.9,2.4,4.1,3.9
Niger,1.4,1.5,1.1,0.9,0.8,1.3,1.4
Nigeria,0.5,0.4,0.4,0.7,0.6,0.7,0.6
Saint Helena,2.7,1.9,1.8,3,4.8,6.4,7.2
Senegal,3.6,3.3,2.4,2.1,2,1.8,1.6
Sierra Leone,5.1,2.3,2.1,2.6,1.2,0.8,0.7
Togo,2.2,2.4,2.8,3.6,4,3.8,3.4
Kazakhstan,22.1,20.5,19.3,20.1,20.5,20.2,19.9
Kyrgyzstan,14.2,11.4,7.9,6.1,4.3,3.4,3.1
Tajikistan,8.1,6,4.8,4.1,3.7,3.3,2.9
Turkmenistan,8.3,6.5,4.9,4.5,3.9,3.5,3.2
Uzbekistan,8.1,6.6,5.7,5,4.3,3.8,3.5
China,0,0,0,0.1,0.1,0.1,0.1
"China, Hong Kong SAR",38.7,40.2,40.4,40.2,39.9,39.5,39.5
"China, Macao SAR",59.6,58.3,56.3,57.8,59.2,62.5,62.1
Dem. People's Republic of Korea,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Japan,0.9,1.1,1.3,1.6,1.7,1.7,2.2
Mongolia,0.3,0.3,0.3,0.5,0.6,0.7,0.7
Republic of Korea,0.1,0.3,0.5,1,1.9,2.7,3.4
Brunei Darussalam,28.3,28.5,28.9,27,25.9,24.8,25.6
Cambodia,0.4,0.9,1.2,0.9,0.6,0.5,0.5
Indonesia,0.3,0.2,0.1,0.1,0.1,0.1,0.1
Lao People's Democratic Republic,0.5,0.5,0.4,0.4,0.5,0.7,0.7
Malaysia,3.9,4.6,6.3,7.5,8.6,10.8,10.7
Myanmar,0.3,0.3,0.2,0.2,0.2,0.1,0.1
Philippines,0.2,0.3,0.4,0.3,0.2,0.2,0.2
Singapore,24.1,28.1,33.6,40.1,42.2,44.4,43.1
Thailand,0.9,1.4,2,3.4,4.8,5.1,5.2
Timor-Leste,1.2,1.2,1.2,1.1,1.1,0.7,0.6
Viet Nam,0,0.1,0.1,0.1,0.1,0.1,0.1
Afghanistan,0.5,0.4,0.4,0.3,0.4,1,0.4
Bangladesh,0.9,0.8,0.8,0.8,0.9,0.9,1.3
Bhutan,4.5,5.2,5.4,6.2,7.1,7,6.9
India,0.9,0.7,0.6,0.5,0.5,0.4,0.4
Iran (Islamic Republic of),7.6,4.8,3.8,3.7,3.7,3.5,3.3
Maldives,3.9,7.3,9.7,14.1,14.9,14.1,13
Nepal,2.3,3.2,3,2.6,2.2,1.9,1.7
Pakistan,5.8,3,2.9,2,2.2,1.8,1.5
Sri Lanka,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Armenia,18.6,21.6,21.4,15.7,7.3,6.5,6.4
